sentence text labels

1 PROCEDIMIENTO O

2 El O

2 asunto O

2 tiene O

2 su O

2 origen O

2 en O

2 una O

2 demanda O

2 ( O

2 no O

2 36110 B-CODE

2 / I-CODE

2 97 I-CODE

2 ) O

2 contra O

2 la O

2 República O

2 de O

2 Turquía O

2 presentada O

2 ante O

2 la O

2 Comisión O

2 Europea O

2 de O

2 Derechos O

2 Humanos O

2 ( O

2 " O

2 la O

2 Comisión O

2 " O

2 ) O

2 en O

2 virtud O

2 del O

2 antiguo O

2 artículo O

2 25 O

2 del O

2 Convenio O

2 Europeo O

2 para O

2 la O

2 Protección O

2 de O

2 los O

2 Derechos O

2 Humanos O

2 y O

2 de O

2 las O

2 Libertades O

2 Fundamentales O

2 ( O

2 " O

2 el O

2 Convenio O

2 " O

2 ) O

2 por O

2 cuatro O

2 nacionales O

2 turcos O

2 , O

2 el O

2 Sr B-PER

2 . I-PER

2 Galip I-PER

2 Yalman I-PER

2 , O

2 el O

2 Sr B-PER

2 . I-PER

2 Bahattin I-PER

2 Sarısoy I-PER

2 , O

2 el O

2 Sr B-PER

2 . I-PER

2 Osman I-PER

2 Çağlayan I-PER

2 y O

2 el O

2 Sr B-PER

2 . I-PER

2 Yusuf I-PER

2 Çamca I-PER

2 ( O

2 " O

2 los O

2 demandantes O

2 " O

2 ) O

2 , O

2 el O

2 29 B-DATETIME

2 de I-DATETIME

2 noviembre I-DATETIME

2 de I-DATETIME

2 1996 I-DATETIME

2 . O

3 Los O

3 demandantes O

3 estaban O

3 representados O

3 por O

3 el O

3 Sr B-PER

3 . I-PER

3 S I-PER

3 . I-PER

3 Esmer I-PER

3 , O

3 abogado O

3 en O

3 ejercicio O

3 en O

3 Ankara B-LOC

3 . O

4 El O

4 Gobierno O

4 turco O

4 ( O

4 " O

4 el O

4 Gobierno O

4 " O

4 ) O

4 no O

4 designó O

4 agente O

4 a O

4 efectos O

4 del O

4 procedimiento O

4 ante O

4 las O

4 instituciones O

4 del O

4 Convenio O

4 . O

5 Los O

5 demandantes O

5 alegaron O

5 que O

5 su O

5 caso O

5 , O

5 que O

5 comenzó O

5 en O

5 1989 B-DATETIME

5 y O

5 finalizó O

5 en O

5 1996 B-DATETIME

5 , O

5 no O

5 fue O

5 juzgado O

5 en O

5 un O

5 plazo O

5 razonable O

5 como O

5 exige O

5 el O

5 Convenio O

5 . O

6 La O

6 demanda O

6 fue O

6 transmitida O

6 al O

6 Tribunal O

6 el O

6 1 O

6 de O

6 noviembre O

6 de O

6 1998 O

6 , O

6 fecha O

6 de O

6 entrada O

6 en O

6 vigor O

