sentence text labels

1 PROCEDURE O

2 L O

2 ' O

2 affaire O

2 a O

2 pour O

2 origine O

2 une O

2 requête O

2 ( O

2 no O

2 36110 B-CODE

2 / I-CODE

2 97 I-CODE

2 ) O

2 contre O

2 la O

2 République O

2 de O

2 Turquie O

2 introduite O

2 devant O

2 la O

2 Commission O

2 européenne O

2 des O

2 droits O

2 de O

2 l O

2 ' O

2 homme O

2 ( O

2 " O

2 la O

2 Commission O

2 " O

2 ) O

2 en O

2 vertu O

2 de O

2 l O

2 ' O

2 ancien O

2 article O

2 25 O

2 de O

2 la O

2 Convention O

2 de O

2 sauvegarde O

2 des O

2 droits O

2 de O

2 l O

2 ' O

2 homme O

2 et O

2 des O

2 libertés O

2 fondamentales O

2 ( O

2 " O

2 la O

2 Convention O

2 " O

2 ) O

2 par O

2 quatre O

2 ressortissants O

2 turcs B-DEM

2 , O

2 M B-PER

2 . I-PER

2 Galip I-PER

2 Yalman I-PER

2 , O

2 M B-PER

2 . I-PER

2 Bahattin I-PER

2 Sarısoy I-PER

2 , O

2 M B-PER

2 . I-PER

2 Osman I-PER

2 Çağlayan I-PER

2 et O

2 M B-PER

2 . I-PER

2 Yusuf I-PER

2 Çamca I-PER

2 ( O

2 " O

2 les O

2 requérants O

2 " O

2 ) O

2 , O

2 le O

2 29 B-DATETIME

2 novembre I-DATETIME

2 1996 I-DATETIME

2 . O

3 Les O

3 requérants O

3 étaient O

3 représentés O

3 par O

3 M B-PER

3 . I-PER

3 S I-PER

3 . I-PER

3 Esmer I-PER

3 , O

3 avocat O

3 exerçant O

3 à O

3 Ankara B-LOC

3 . O

4 Le O

4 gouvernement O

4 turc O

4 ( O

4 " O

4 le O

4 gouvernement O

4 " O

4 ) O

4 n O

4 ' O

4 a O

4 pas O

4 désigné O

4 d O

4 ' O

4 agent O

4 aux O

4 fins O

4 de O

4 la O

4 procédure O

4 devant O

4 les O

4 institutions O

4 de O

4 la O

4 Convention O

4 . O

5 Les O

5 requérants O

5 allèguent O

5 que O

5 leur O

5 affaire O

5 , O

5 qui O

5 a O

5 débuté O

5 en O

5 1989 B-DATETIME

5 et O

5 s O

5 ' O

5 est O

5 achevée O

5 en O

5 1996 B-DATETIME

5 , O

5 n O

5 ' O

5 a O

5 pas O

5 été O

5 entendue O

5 dans O

5 un O

5 délai O

5 raisonnable O

5 comme O

5 l O

5 ' O

5 exige O

5 la O

5 Convention O

5 . O

6 La O

6 requête O

6 a O

6 été O

6 transmise O

6 à O

6 la O

6 Cour O

6 le O

6 1er O

6 novembre O

6 1998 O

6 , O

6 date O

6 d O

6 ' O

6 entrée O

6 en O

6 vigueur O

6 du O

6 Protocole O

6 n° O

6 11 O

6 à O

6 la O

6 Convention O

6 ( O

6 article O

6 5 O

6 § O

6 2 O

6 du O

6 Protocole O

6 n° O

6 11 O

6 ) O

6 . O

7 La O

7 requête O

7 a O

7 été O

7 attribuée O

7 à O

7 la O

7 deuxième O

7 section O

7 de O

7 la O

7 Cour O

7 ( O

7 article O

7 52 O

7 § O

7 1 O

7 du O

7 règlement O

7 ) O

7 . O

8 Au O

8 sein O

8 de O

8 cette O

8 section O

8 , O

8 la O

8 chambre O

8 chargée O

8 d O

8 ' O

8 examiner O

8 l O

8 ' O

8 affaire O

8 ( O

8 article O

8 27 O

8 § O

8 1 O

8 de O

8 la O

8 Convention O

8 ) O

8 a O

8 été O

8 constituée O

8 conformément O

8 à O

8 l O

8 ' O

8 article O

8 26 O

8 § O

8 1 O

