sentence text labels

1 PROCEDURE O

2 L O

2 ' O

2 affaire O

2 a O

2 pour O

2 origine O

2 une O

2 requête O

2 ( O

2 no O

2 5136 B-CODE

2 / I-CODE

2 11 I-CODE

2 ) O

2 contre O

2 la O

2 République B-LOC

2 de I-LOC

2 Pologne I-LOC

2 introduite O

2 devant O

2 la O

2 Cour O

2 en O

2 vertu O

2 de O

2 l O

2 ' O

2 article O

2 34 O

2 de O

2 la O

2 Convention O

2 de O

2 sauvegarde O

2 des O

2 droits O

2 de O

2 l O

2 ' O

2 homme O

2 et O

2 des O

2 libertés O

2 fondamentales O

2 ( O

2 " O

2 la O

2 Convention O

2 " O

2 ) O

2 par O

2 un O

2 ressortissant O

2 polonais B-NATIONALITY

2 , O

2 M B-PER

2 . I-PER

2 Kamil I-PER

2 Prus I-PER

2 ( O

2 " O

2 le O

2 requérant O

2 " O

2 ) O

2 , O

2 le B-DATE

2 6 I-DATE

2 décembre I-DATE

2 2010 I-DATE

2 . O

3 Le O

3 requérant O

3 , O

3 qui O

3 avait O

3 bénéficié O

3 de O

3 l O

3 ' O

3 aide O

3 juridictionnelle O

3 , O

3 était O

3 représenté O

3 par O

3 M B-LEGAL_PROFESSIONAL

3 . I-LEGAL_PROFESSIONAL

3 S I-LEGAL_PROFESSIONAL

3 . I-LEGAL_PROFESSIONAL

3 Kotuła I-LEGAL_PROFESSIONAL

3 , O

3 avocat O

3 exerçant O

3 à O

3 Lublin B-LOC

3 . O

4 Le O

4 gouvernement O

4 polonais B-NATIONALITY

4 ( O

4 " O

4 le O

4 gouvernement O

4 " O

4 ) O

4 était O

4 représenté O

4 par O

4 son O

4 agent O

4 , O

4 Mme B-LEGAL_PROFESSIONAL

4 J I-LEGAL_PROFESSIONAL

4 . I-LEGAL_PROFESSIONAL

4 Chrzanowska I-LEGAL_PROFESSIONAL

4 , O

4 du O

4 ministère O

4 des O

4 Affaires O

4 étrangères O

4 . O

5 Le O

5 requérant O

5 allègue O

5 notamment O

5 une O

5 violation O

5 de O

5 l O

5 ' O

5 article O

5 3 O

5 de O

5 la O

5 Convention O

5 en O

5 raison O

5 de O

5 l O

5 ' O

5 imposition O

5 à O

5 son O

5 égard O

5 du O

5 régime O

5 dit O

5 des O

5 " O

5 détenus O

5 dangereux O

5 " O

5 . O

6 Le B-DATE

6 7 I-DATE

6 juillet I-DATE

6 2014 I-DATE

6 , O

6 la O

6 requête O

6 a O

6 été O

6 communiquée O

6 au O

6 Gouvernement O

6 . O

7 LES O

7 FAITS O

8 CIRCONSTANCES O

8 DE O

8 L O

8 ' O

8 AFFAIRE O

9 Le O

9 requérant O

9 est O

9 né O

9 en O

9 1987 B-DATE

9 et O

9 est O

9 détenu O

9 à O

9 Lublin B-LOC

9 . O

10 A O

10 . O

10 La O

10 procédure O

10 pénale O

10 contre O

10 le O

10 requérant O

11 Le B-DATE

11 1er I-DATE

11 décembre I-DATE

11 2005 I-DATE

11 , O

11 le O

11 requérant O

11 fut O

11 arrêté O

11 et O

11 placé O

11 en O

11 détention O

11 provisoire O

11 . O

12 En O

12 2006 B-DATE

12 , O

12 il O

12 fut O

12 reconnu O

12 coupable O

12 de O

12 trois B-QUANTITY

12 chefs O

12 d O

12 ' O

12 accusation O

12 de O

12 coups O

12 et O

12 blessures O

12 et O

12 de O

12 vol O

12 qualifié O

12 et O

12 fut O

12 condamné O

12 à O

12 des O

12 peines O

12 d O

12 ' O

12 emprisonnement O

12 allant O

12 de O

12 deux B-QUANTITY

12 à O

12 quatre B-QUANTITY

12 ans O

