sentence text labels

1 PROCÉDURE O

2 A O

2 l O

2 ' O

2 origine O

2 de O

2 l O

2 ' O

2 affaire O

2 se O

2 trouve O

2 une O

2 requête O

2 ( O

2 no O

2 8866 B-CODE

2 / I-CODE

2 04 I-CODE

2 ) O

2 dirigée O

2 contre O

2 le O

2 Royaume B-LOC

2 - I-LOC

2 Uni I-LOC

2 de I-LOC

2 Grande I-LOC

2 - I-LOC

2 Bretagne I-LOC

2 et I-LOC

2 d I-LOC

2 ' I-LOC

2 Irlande I-LOC

2 du I-LOC

2 Nord I-LOC

2 et O

2 dont O

2 un O

2 ressortissant O

2 de O

2 cet B-LOC

2 Etat I-LOC

2 , O

2 M B-PER

2 . I-PER

2 Yassar I-PER

2 Hussain I-PER

2 ( O

2 « O

2 le O

2 requérant O

2 » O

2 ) O

2 , O

2 a O

2 saisi O

2 la O

2 Cour O

2 le B-DATE

2 1er I-DATE

2 mars I-DATE

2 2004 I-DATE

2 en O

2 vertu O

2 de O

2 l O

2 ' O

2 article O

2 34 O

2 de O

2 la O

2 Convention O

2 de O

2 sauvegarde O

2 des O

2 droits O

2 de O

2 l O

2 ' O

2 homme O

2 et O

2 des O

2 libertés O

2 fondamentales O

2 ( O

2 « O

2 la O

2 Convention O

2 » O

2 ) O

2 . O

3 Le O

3 requérant O

3 est O

3 représenté O

3 par O

3 Me B-LEGAL_PROFESSIONAL

3 M I-LEGAL_PROFESSIONAL

3 . I-LEGAL_PROFESSIONAL

3 Bromley I-LEGAL_PROFESSIONAL

3 , O

3 du O

3 cabinet O

3 d O

3 ' O

3 avocats O

3 Lichfield B-ORG

3 Reynolds I-ORG

3 de O

3 Stoke B-LOC

3 - I-LOC

3 on I-LOC

3 -Trent I-LOC

3 . O

4 Le O

4 gouvernement O

4 britannique B-NATIONALITY

4 ( O

4 « O

4 le O

4 Gouvernement O

4 » O

4 ) O

4 est O

4 représenté O

4 par O

4 son O

4 agent O

4 , O

4 M B-LEGAL_PROFESSIONAL

4 . I-LEGAL_PROFESSIONAL

4 J I-LEGAL_PROFESSIONAL

4 . I-LEGAL_PROFESSIONAL

4 Grainger I-LEGAL_PROFESSIONAL

4 , O

4 du O

4 ministère B-ORG

4 des I-ORG

4 Affaires I-ORG

4 étrangères I-ORG

4 et I-ORG

4 du I-ORG

4 Commonwealth I-ORG

4 . O

5 Le B-DATE

5 16 I-DATE

5 février I-DATE

5 2005 I-DATE

5 , O

5 la O

5 Cour O

5 a O

5 décidé O

5 de O

5 communiquer O

5 la O

5 requête O

5 au O

5 Gouvernement O

5 . O

6 En O

6 vertu O

6 des O

6 dispositions O

6 de O

6 l O

6 ' O

6 article O

6 29 O

6 § O

6 3 O

6 de O

6 la O

6 Convention O

6 , O

6 elle O

6 a O

6 décidé O

6 d O

6 ' O

6 examiner O

6 conjointement O

6 la O

6 recevabilité O

6 et O

