sentence text labels

1 PROCÉDURE O

2 L’affaire O

2 a O

2 été O

2 déférée O

2 à O

2 la O

2 Cour O

2 par O

2 la O

2 Commission O

2 européenne O

2 des O

2 Droits O

2 de O

2 l’Homme O

2 ( O

2 " O

2 la O

2 Commission O

2 " O

2 ) O

2 le O

2 12 B-DATETIME

2 juillet I-DATETIME

2 1993 I-DATETIME

2 , O

2 puis O

2 par O

2 le O

2 gouvernement O

2 du O

2 Royaume O

2 - O

2 Uni O

2 de O

2 Grande O

2 - O

2 Bretagne O

2 et O

2 d’Irlande O

2 du O

2 Nord O

2 ( O

2 " O

2 le O

2 Gouvernement O

2 " O

2 ) O

2 le O

2 3 B-DATETIME

2 août I-DATETIME

2 1993 I-DATETIME

2 , O

2 dans O

2 le O

2 délai O

2 de O

2 trois O

2 mois O

2 qu’ouvrent O

2 les O

2 articles O

2 32 O

2 par O

2 . O

2 1 O

2 et O

2 47 O

2 ( O

2 art O

2 . O

2 32 O

2 - O

2 1 O

2 , O

2 art O

2 . O

2 47 O

2 ) O

2 de O

2 la O

2 Convention O

2 . O

3 A O

3 son O

3 origine O

3 se O

3 trouve O

3 une O

3 requête O

3 ( O

3 no O

3 18949 B-CODE

3 / I-CODE

3 91 I-CODE

3 ) O

3 dirigée O

3 contre O

3 le O

3 Royaume O

3 - O

3 Uni O

3 et O

3 dont O

3 un O

3 ressortissant O

3 de O

3 cet O

3 Etat O

3 , O

3 M B-PER

3 . I-PER

3 Peter I-PER

3 Maxwell I-PER

3 , O

3 avait O

3 saisi O

3 la O

3 Commission O

3 le O

3 25 B-DATETIME

3 mars I-DATETIME

3 1991 I-DATETIME

3 en O

3 vertu O

3 de O

3 l’article O

3 25 O

3 ( O

3 art O

3 . O

3 25 O

3 ) O

3 . O

4 La O

4 demande O

4 de O

4 la O

4 Commission O

4 renvoie O

4 aux O

4 articles O

4 44 O

4 et O

4 48 O

4 ( O

4 art O

4 . O

4 44 O

4 , O

4 art O

4 . O

4 48 O

4 ) O

4 ainsi O

4 qu’à O

4 la O

4 déclaration O

4 britannique O

4 reconnaissant O

4 la O

4 juridiction O

4 obligatoire O

4 de O

4 la O

4 Cour O

4 ( O

4 article O

4 46 O

4 ) O

4 ( O

4 art O

4 . O

4 46 O

4 ) O

4 , O

4 la O

4 requête O

4 du O

4 Gouvernement O

4 au O

4 seul O

4 article O

4 48 O

4 ( O

4 art O

4 . O

4 48 O

4 ) O

4 . O

5 Elles O

5 ont O

5 pour O

5 objet O

5 d’obtenir O

5 une O

5 décision O

5 sur O

5 le O

5 point O

5 de O

5 savoir O

5 si O

5 les O

5 faits O

5 de O

5 la O

5 cause O

5 révèlent O

5 un O

5 manquement O

5 de O

5 l’Etat O

5 défendeur O

5 aux O

5 exigences O

5 de O

5 l’article O

5 6 O
